protocol_type,service,flag,logged_in,is_host_login,is_guest_login
2,4,7,0,0,0
2,4,7,0,0,0
2,4,7,0,0,0
2,3,7,0,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
2,4,7,0,0,0
1,5,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,1,7,0,0,0
2,4,7,0,0,0
1,1,7,0,0,0
1,1,7,0,0,0
2,4,7,0,0,0
1,5,7,1,0,0
1,2,7,1,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,5,7,1,0,0
1,0,7,1,0,1
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,1,7,0,0,0
1,2,7,1,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,5,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
2,4,7,0,0,0
1,5,7,1,0,0
1,5,7,1,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,1,7,0,0,0
1,1,7,0,0,0
2,4,7,0,0,0
0,3,7,0,0,0
2,4,7,0,0,0
2,4,7,0,0,0
2,4,7,0,0,0
2,3,7,0,0,0
1,5,7,1,0,0
1,3,7,0,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,1,7,0,0,0
2,3,7,0,0,0
2,4,7,0,0,0
1,0,7,1,0,1
1,5,7,1,0,0
1,1,7,0,0,0
1,1,7,0,0,0
2,3,7,0,0,0
1,5,7,1,0,0
2,3,7,0,0,0
1,5,7,1,0,0
2,4,7,0,0,0
2,3,7,0,0,0
1,5,7,1,0,0
2,3,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
2,4,7,0,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,3,7,0,0,0
2,4,7,0,0,0
1,5,7,1,0,0
2,4,7,0,0,0
2,4,7,0,0,0
2,4,7,0,0,0
2,4,7,0,0,0
1,5,7,1,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
2,3,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
2,3,7,0,0,0
2,3,7,0,0,0
2,4,7,0,0,0
1,1,7,0,0,0
2,3,7,0,0,0
2,3,7,0,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
0,3,7,0,0,0
2,4,7,0,0,0
1,1,7,0,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
2,3,7,0,0,0
1,3,3,0,0,0
1,2,7,1,0,0
2,3,7,0,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,3,4,0,0,0
1,5,7,1,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
2,3,7,0,0,0
2,3,7,0,0,0
2,4,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
2,3,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
2,4,7,0,0,0
2,3,7,0,0,0
1,2,7,1,0,0
1,1,7,0,0,0
1,1,7,0,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
1,2,7,1,0,0
