K-sredine,DBSCAN,Gaussova mješavina
8.62E-01,7.62E-01,8.70E-01
8.65E-01,7.58E-01,8.72E-01
8.63E-01,7.50E-01,8.67E-01
8.68E-01,7.52E-01,8.75E-01
8.66E-01,7.57E-01,8.67E-01
8.64E-01,7.60E-01,8.69E-01
8.76E-01,7.60E-01,8.63E-01
8.71E-01,7.61E-01,8.74E-01
8.70E-01,7.59E-01,8.69E-01
8.65E-01,7.55E-01,8.72E-01
8.68E-01,7.58E-01,8.69E-01
8.68E-01,7.56E-01,8.68E-01
8.68E-01,7.59E-01,8.77E-01
8.69E-01,7.61E-01,8.71E-01
8.72E-01,7.66E-01,8.66E-01
8.75E-01,7.58E-01,8.68E-01
8.68E-01,7.55E-01,8.72E-01
8.67E-01,7.62E-01,8.68E-01
8.66E-01,7.60E-01,8.65E-01
8.65E-01,7.61E-01,8.65E-01
