K-sredine,DBSCAN,Gaussova mješavina
6.01E-01,3.78E-01,6.03E-01
5.48E-01,4.09E-01,5.83E-01
5.96E-01,4.14E-01,5.99E-01
6.34E-01,3.88E-01,5.65E-01
5.54E-01,3.79E-01,6.45E-01
5.55E-01,3.44E-01,6.25E-01
5.98E-01,3.87E-01,5.61E-01
6.67E-01,4.03E-01,6.24E-01
5.83E-01,3.96E-01,5.15E-01
6.40E-01,4.03E-01,5.64E-01
6.24E-01,4.14E-01,6.43E-01
5.74E-01,4.12E-01,5.66E-01
5.80E-01,3.96E-01,6.11E-01
6.67E-01,3.99E-01,6.49E-01
6.00E-01,3.98E-01,6.03E-01
5.73E-01,4.21E-01,6.26E-01
6.22E-01,4.28E-01,6.11E-01
5.88E-01,4.18E-01,5.91E-01
6.10E-01,4.03E-01,6.27E-01
5.88E-01,4.09E-01,5.91E-01
